id,stimfile,content,kind,name,x,y,width,height,line,part,column
0,s7_stimuli_t4.jpg,,line,line 1,239,184,1200,29,1.0,,
1,s7_stimuli_t4.jpg,Malý,sub-line,line 1 part 1,239,184,99,29,1.0,1.0,
2,s7_stimuli_t4.jpg,Pepík,sub-line,line 1 part 2,338,184,85,29,1.0,2.0,
3,s7_stimuli_t4.jpg,raději,sub-line,line 1 part 3,423,184,85,29,1.0,3.0,
4,s7_stimuli_t4.jpg,četl,sub-line,line 1 part 4,508,184,58,29,1.0,4.0,
5,s7_stimuli_t4.jpg,doma,sub-line,line 1 part 5,566,184,81,29,1.0,5.0,
6,s7_stimuli_t4.jpg,knížky,sub-line,line 1 part 6,647,184,99,29,1.0,6.0,
7,s7_stimuli_t4.jpg,plné,sub-line,line 1 part 7,746,184,67,29,1.0,7.0,
8,s7_stimuli_t4.jpg,"dobrodružství,",sub-line,line 1 part 8,813,184,192,29,1.0,8.0,
9,s7_stimuli_t4.jpg,než,sub-line,line 1 part 9,1005,184,57,29,1.0,9.0,
10,s7_stimuli_t4.jpg,aby,sub-line,line 1 part 10,1062,184,59,29,1.0,10.0,
11,s7_stimuli_t4.jpg,skotačil,sub-line,line 1 part 11,1121,184,110,29,1.0,11.0,
12,s7_stimuli_t4.jpg,s,sub-line,line 1 part 12,1231,184,25,29,1.0,12.0,
13,s7_stimuli_t4.jpg,dětmi,sub-line,line 1 part 13,1256,184,84,29,1.0,13.0,
14,s7_stimuli_t4.jpg,venku.,sub-line,line 1 part 14,1340,184,99,29,1.0,14.0,
15,s7_stimuli_t4.jpg,,line,line 2,239,276,1202,29,2.0,,
16,s7_stimuli_t4.jpg,Možná,sub-line,line 2 part 1,239,276,116,29,2.0,1.0,
17,s7_stimuli_t4.jpg,k,sub-line,line 2 part 2,355,276,25,29,2.0,2.0,
18,s7_stimuli_t4.jpg,tomu,sub-line,line 2 part 3,380,276,72,29,2.0,3.0,
19,s7_stimuli_t4.jpg,přispěla,sub-line,line 2 part 4,452,276,109,29,2.0,4.0,
20,s7_stimuli_t4.jpg,i,sub-line,line 2 part 5,561,276,18,29,2.0,5.0,
21,s7_stimuli_t4.jpg,nemocná,sub-line,line 2 part 6,579,276,120,29,2.0,6.0,
22,s7_stimuli_t4.jpg,"noha,",sub-line,line 2 part 7,699,276,77,29,2.0,7.0,
23,s7_stimuli_t4.jpg,která,sub-line,line 2 part 8,776,276,73,29,2.0,8.0,
24,s7_stimuli_t4.jpg,mu,sub-line,line 2 part 9,849,276,48,29,2.0,9.0,
25,s7_stimuli_t4.jpg,mnohé,sub-line,line 2 part 10,897,276,92,29,2.0,10.0,
26,s7_stimuli_t4.jpg,neplechy,sub-line,line 2 part 11,989,276,121,29,2.0,11.0,
27,s7_stimuli_t4.jpg,znemožňovala.,sub-line,line 2 part 12,1110,276,197,29,2.0,12.0,
28,s7_stimuli_t4.jpg,Raději,sub-line,line 2 part 13,1307,276,91,29,2.0,13.0,
29,s7_stimuli_t4.jpg,se,sub-line,line 2 part 14,1398,276,43,29,2.0,14.0,
30,s7_stimuli_t4.jpg,,line,line 3,239,368,1204,29,3.0,,
31,s7_stimuli_t4.jpg,proto,sub-line,line 3 part 1,239,368,98,29,3.0,1.0,
32,s7_stimuli_t4.jpg,ponořil,sub-line,line 3 part 2,337,368,104,29,3.0,2.0,
33,s7_stimuli_t4.jpg,do,sub-line,line 3 part 3,441,368,44,29,3.0,3.0,
34,s7_stimuli_t4.jpg,příběhů,sub-line,line 3 part 4,485,368,107,29,3.0,4.0,
35,s7_stimuli_t4.jpg,plných,sub-line,line 3 part 5,592,368,98,29,3.0,5.0,
36,s7_stimuli_t4.jpg,plížících,sub-line,line 3 part 6,690,368,122,29,3.0,6.0,
37,s7_stimuli_t4.jpg,se,sub-line,line 3 part 7,812,368,39,29,3.0,7.0,
38,s7_stimuli_t4.jpg,"indiánů,",sub-line,line 3 part 8,851,368,114,29,3.0,8.0,
39,s7_stimuli_t4.jpg,odvážných,sub-line,line 3 part 9,965,368,146,29,3.0,9.0,
40,s7_stimuli_t4.jpg,zálesáků,sub-line,line 3 part 10,1111,368,120,29,3.0,10.0,
41,s7_stimuli_t4.jpg,nebo,sub-line,line 3 part 11,1231,368,73,29,3.0,11.0,
42,s7_stimuli_t4.jpg,zlotřilých,sub-line,line 3 part 12,1304,368,139,29,3.0,12.0,
43,s7_stimuli_t4.jpg,,line,line 4,239,460,1203,29,4.0,,
44,s7_stimuli_t4.jpg,pirátů.,sub-line,line 4 part 1,239,460,117,29,4.0,1.0,
45,s7_stimuli_t4.jpg,Občas,sub-line,line 4 part 2,356,460,91,29,4.0,2.0,
46,s7_stimuli_t4.jpg,smutně,sub-line,line 4 part 3,447,460,103,29,4.0,3.0,
47,s7_stimuli_t4.jpg,vyhlédl,sub-line,line 4 part 4,550,460,108,29,4.0,4.0,
48,s7_stimuli_t4.jpg,z,sub-line,line 4 part 5,658,460,30,29,4.0,5.0,
49,s7_stimuli_t4.jpg,okna,sub-line,line 4 part 6,688,460,74,29,4.0,6.0,
50,s7_stimuli_t4.jpg,na,sub-line,line 4 part 7,762,460,45,29,4.0,7.0,
51,s7_stimuli_t4.jpg,hrající,sub-line,line 4 part 8,807,460,95,29,4.0,8.0,
52,s7_stimuli_t4.jpg,si,sub-line,line 4 part 9,902,460,34,29,4.0,9.0,
53,s7_stimuli_t4.jpg,kamarády,sub-line,line 4 part 10,936,460,138,29,4.0,10.0,
54,s7_stimuli_t4.jpg,a,sub-line,line 4 part 11,1074,460,29,29,4.0,11.0,
55,s7_stimuli_t4.jpg,sledoval,sub-line,line 4 part 12,1103,460,116,29,4.0,12.0,
56,s7_stimuli_t4.jpg,zpovzdáli,sub-line,line 4 part 13,1219,460,132,29,4.0,13.0,
57,s7_stimuli_t4.jpg,jejich,sub-line,line 4 part 14,1351,460,91,29,4.0,14.0,
58,s7_stimuli_t4.jpg,,line,line 5,239,552,1201,29,5.0,,
59,s7_stimuli_t4.jpg,rozpustilou,sub-line,line 5 part 1,239,552,172,29,5.0,1.0,
60,s7_stimuli_t4.jpg,hru.,sub-line,line 5 part 2,411,552,62,29,5.0,2.0,
61,s7_stimuli_t4.jpg,Jednoho,sub-line,line 5 part 3,473,552,116,29,5.0,3.0,
62,s7_stimuli_t4.jpg,"dne,",sub-line,line 5 part 4,589,552,64,29,5.0,4.0,
63,s7_stimuli_t4.jpg,když,sub-line,line 5 part 5,653,552,75,29,5.0,5.0,
64,s7_stimuli_t4.jpg,se,sub-line,line 5 part 6,728,552,35,29,5.0,6.0,
65,s7_stimuli_t4.jpg,jako,sub-line,line 5 part 7,763,552,70,29,5.0,7.0,
66,s7_stimuli_t4.jpg,obvykle,sub-line,line 5 part 8,833,552,112,29,5.0,8.0,
67,s7_stimuli_t4.jpg,díval,sub-line,line 5 part 9,945,552,75,29,5.0,9.0,
68,s7_stimuli_t4.jpg,částečně,sub-line,line 5 part 10,1020,552,116,29,5.0,10.0,
69,s7_stimuli_t4.jpg,ukrytý,sub-line,line 5 part 11,1136,552,93,29,5.0,11.0,
70,s7_stimuli_t4.jpg,za,sub-line,line 5 part 12,1229,552,40,29,5.0,12.0,
71,s7_stimuli_t4.jpg,"záclonou,",sub-line,line 5 part 13,1269,552,133,29,5.0,13.0,
72,s7_stimuli_t4.jpg,si,sub-line,line 5 part 14,1402,552,38,29,5.0,14.0,
73,s7_stimuli_t4.jpg,,line,line 6,239,644,1203,29,6.0,,
74,s7_stimuli_t4.jpg,"uvědomil,",sub-line,line 6 part 1,239,644,152,29,6.0,1.0,
75,s7_stimuli_t4.jpg,že,sub-line,line 6 part 2,391,644,36,29,6.0,2.0,
76,s7_stimuli_t4.jpg,nějaký,sub-line,line 6 part 3,427,644,91,29,6.0,3.0,
77,s7_stimuli_t4.jpg,stín,sub-line,line 6 part 4,518,644,52,29,6.0,4.0,
78,s7_stimuli_t4.jpg,se,sub-line,line 6 part 5,570,644,29,29,6.0,5.0,
79,s7_stimuli_t4.jpg,jako,sub-line,line 6 part 6,599,644,65,29,6.0,6.0,
80,s7_stimuli_t4.jpg,blesk,sub-line,line 6 part 7,664,644,73,29,6.0,7.0,
81,s7_stimuli_t4.jpg,pohybuje,sub-line,line 6 part 8,737,644,121,29,6.0,8.0,
82,s7_stimuli_t4.jpg,po,sub-line,line 6 part 9,858,644,40,29,6.0,9.0,
83,s7_stimuli_t4.jpg,stromě,sub-line,line 6 part 10,898,644,90,29,6.0,10.0,
