id,stimfile,content,kind,name,x,y,width,height,line,part,column
0,s7_stimuli_t5.jpg,,line,line 1,239,179,1203,34,1.0,,
1,s7_stimuli_t5.jpg,Vůmice,sub-line,line 1 part 1,239,179,133,34,1.0,1.0,
2,s7_stimuli_t5.jpg,lobu,sub-line,line 1 part 2,372,179,67,34,1.0,2.0,
3,s7_stimuli_t5.jpg,saná,sub-line,line 1 part 3,439,179,66,34,1.0,3.0,
4,s7_stimuli_t5.jpg,ladiv.,sub-line,line 1 part 4,505,179,81,34,1.0,4.0,
5,s7_stimuli_t5.jpg,Šini,sub-line,line 1 part 5,586,179,61,34,1.0,5.0,
6,s7_stimuli_t5.jpg,se,sub-line,line 1 part 6,647,179,36,34,1.0,6.0,
7,s7_stimuli_t5.jpg,zonaj,sub-line,line 1 part 7,683,179,81,34,1.0,7.0,
8,s7_stimuli_t5.jpg,olítače,sub-line,line 1 part 8,764,179,93,34,1.0,8.0,
9,s7_stimuli_t5.jpg,a,sub-line,line 1 part 9,857,179,22,34,1.0,9.0,
10,s7_stimuli_t5.jpg,jipřá,sub-line,line 1 part 10,879,179,72,34,1.0,10.0,
11,s7_stimuli_t5.jpg,tibý,sub-line,line 1 part 11,951,179,61,34,1.0,11.0,
12,s7_stimuli_t5.jpg,sa,sub-line,line 1 part 12,1012,179,37,34,1.0,12.0,
13,s7_stimuli_t5.jpg,takode,sub-line,line 1 part 13,1049,179,94,34,1.0,13.0,
14,s7_stimuli_t5.jpg,koumi,sub-line,line 1 part 14,1143,179,90,34,1.0,14.0,
15,s7_stimuli_t5.jpg,toudíc.,sub-line,line 1 part 15,1233,179,97,34,1.0,15.0,
16,s7_stimuli_t5.jpg,Vazpíla,sub-line,line 1 part 16,1330,179,112,34,1.0,16.0,
17,s7_stimuli_t5.jpg,,line,line 2,239,276,1203,29,2.0,,
18,s7_stimuli_t5.jpg,"mupotá,",sub-line,line 2 part 1,239,276,134,29,2.0,1.0,
19,s7_stimuli_t5.jpg,sidóla,sub-line,line 2 part 2,373,276,86,29,2.0,2.0,
20,s7_stimuli_t5.jpg,lib,sub-line,line 2 part 3,459,276,44,29,2.0,3.0,
21,s7_stimuli_t5.jpg,"mozdá,",sub-line,line 2 part 4,503,276,103,29,2.0,4.0,
22,s7_stimuli_t5.jpg,rompulo,sub-line,line 2 part 5,606,276,116,29,2.0,5.0,
23,s7_stimuli_t5.jpg,sa,sub-line,line 2 part 6,722,276,37,29,2.0,6.0,
24,s7_stimuli_t5.jpg,řazvíty.,sub-line,line 2 part 7,759,276,106,29,2.0,7.0,
25,s7_stimuli_t5.jpg,Hoče,sub-line,line 2 part 8,865,276,78,29,2.0,8.0,
26,s7_stimuli_t5.jpg,se,sub-line,line 2 part 9,943,276,37,29,2.0,9.0,
27,s7_stimuli_t5.jpg,hašlá,sub-line,line 2 part 10,980,276,76,29,2.0,10.0,
28,s7_stimuli_t5.jpg,řilozá,sub-line,line 2 part 11,1056,276,83,29,2.0,11.0,
29,s7_stimuli_t5.jpg,stým,sub-line,line 2 part 12,1139,276,72,29,2.0,12.0,
30,s7_stimuli_t5.jpg,a,sub-line,line 2 part 13,1211,276,26,29,2.0,13.0,
31,s7_stimuli_t5.jpg,ravízda.,sub-line,line 2 part 14,1237,276,112,29,2.0,14.0,
32,s7_stimuli_t5.jpg,Douje,sub-line,line 2 part 15,1349,276,93,29,2.0,15.0,
33,s7_stimuli_t5.jpg,,line,line 3,239,368,1200,29,3.0,,
34,s7_stimuli_t5.jpg,bocha,sub-line,line 3 part 1,239,368,104,29,3.0,1.0,
35,s7_stimuli_t5.jpg,šakve,sub-line,line 3 part 2,343,368,80,29,3.0,2.0,
36,s7_stimuli_t5.jpg,lámě.,sub-line,line 3 part 3,423,368,77,29,3.0,3.0,
37,s7_stimuli_t5.jpg,Tašelá,sub-line,line 3 part 4,500,368,89,29,3.0,4.0,
38,s7_stimuli_t5.jpg,sně,sub-line,line 3 part 5,589,368,49,29,3.0,5.0,
