seq_len,performer_ms,quadratic_ms,performer_faster,performer_peak_mb,quadratic_peak_mb,device
3,2.588350249970972,1.4906715000051918,False,393.86767578125,393.99755859375,cuda
8,2.5729115499871114,1.5571148499930132,False,394.03662109375,394.03662109375,cuda
16,2.5544248499954847,1.503128949980237,False,394.09912109375,394.09912109375,cuda
32,2.5260898499709583,1.5570280000247294,False,394.22412109375,394.22412109375,cuda
64,2.61199569999917,1.501132699968366,False,394.47412109375,394.47412109375,cuda
128,2.5061687999823334,1.5018051500192087,False,395.732421875,395.84912109375,cuda
256,2.515859000004639,1.5051750000111497,False,398.490234375,402.72412109375,cuda
512,2.54935910002132,1.5056964500217873,False,404.005859375,428.47412109375,cuda
1024,2.5380431000030512,2.911637299985159,True,415.037109375,527.97412109375,cuda
2048,3.2722724999985076,9.178046350007207,True,437.099609375,918.97412109375,cuda
4096,5.304682100040736,34.55610705000254,True,481.224609375,2468.97412109375,cuda
