feature,mean_slope_dyslexic,mean_slope_typical,cohens_d_slope,mannwhitney_u,p_value,q_value_bh
regression_ratio,0.012467935629378027,0.006764891223980283,0.2151122664662901,647.0,0.6896227072545207,0.7259186392152849
fix_count,76.02857142857145,41.98571428571431,1.0543412250937505,924.5,0.00025319764532834706,0.0009677011391721096
mean_fix_dur,75.1486757751281,56.07671508695954,0.3351862006784659,809.0,0.021321975881276607,0.038767228875048375
total_read_time_ms,73433.24454285717,33346.11862857147,1.444560566401951,1053.0,2.3625747649124084e-07,2.6782255871520007e-06
std_fix_dur,52.133595556662144,54.618783386636785,-0.04404956948259556,649.0,0.6723979059583984,0.7259186392152849
median_fix_dur,58.6900428571793,33.26020000000868,0.5060938063992325,831.0,0.010447712456933421,0.02321713879318538
total_fix_dur_ms,70524.71808571451,32179.206728571335,1.4362989643006068,1051.0,2.678225587152001e-07,2.6782255871520007e-06
fixation_rate_hz,-0.1699064756844186,-0.20994656376175705,0.2690889559117954,673.0,0.4809561630871395,0.565830780102517
mean_fix_disp,0.04627862342000688,0.029158802444725015,0.2684874099799493,722.0,0.20043119410224786,0.2672415921363305
sacc_count,76.02857142857145,41.98571428571431,1.0543412250937503,921.5,0.00029031034175163286,0.0009677011391721096
mean_sacc_ampl,-33.422910938850855,-36.939562202649796,0.4708391683219474,785.0,0.04334939153824573,0.06669137159730112
std_sacc_ampl,-28.783248033132253,-25.868268056001035,-0.1957913120269185,536.0,0.3720162408133528,0.465020301016691
mean_sacc_dur,-1.0869470205806202,-1.6392125612350863,0.16837788230955814,613.0,1.0,1.0
mean_sacc_peak_vel,-13.77743855421099,-57.999291020901914,0.3526885489472363,734.0,0.1552362029524556,0.22176600421779374
mean_sacc_avg_vel,-14.252771936631516,-21.67750480043123,0.31909680180132755,818.0,0.016042426525297332,0.032084853050594664
regression_count,24.57142857142858,9.48571428571429,0.9436213724337358,923.5,0.00026498862971658044,0.0009677011391721096
within_line_regression_count,18.214285714285722,8.628571428571432,0.7568157514454319,852.0,0.004991050994169228,0.012477627485423071
between_line_regression_count,6.35714285714286,0.8571428571428584,0.8906558111937334,931.0,0.000187085419919047,0.0009677011391721096
return_sweep_count,1.8857142857142872,-0.8428571428571419,0.7768323286429244,803.0,0.0255974336949004,0.04266238949150067
progressive_count,41.41428571428573,29.87142857142859,0.7775331426489634,869.5,0.0025845050453562612,0.0073843001295893175
