arm,accuracy,f1,auroc,brier,ece,n,n_pos,outer_fold,num_leaves
performer_conditioned,0.875,0.8888888888888888,0.875,0.12419753381186374,0.12418695719419871,8,4,0,7
performer_conditioned,0.75,0.75,0.78125,0.24838701590885795,0.24480806220012558,8,4,1,7
performer_conditioned,0.875,0.8888888888888888,0.875,0.12419753381186374,0.12418695719419871,8,4,2,7
performer_conditioned,0.625,0.4,0.75,0.3722731561322446,0.3724161337881038,8,4,3,7
performer_conditioned,1.0,1.0,1.0,8.587595204682128e-05,0.006853408902319844,8,4,4,7
performer_conditioned,0.6666666666666666,0.6666666666666666,0.8888888888888888,0.32018266835170756,0.32454065381753794,6,3,5,7
performer_conditioned,0.8333333333333334,0.8,0.8333333333333334,0.1656236807090655,0.16561370209965098,6,3,6,7
performer_conditioned,0.8333333333333334,0.8571428571428571,0.8333333333333334,0.1657438651958452,0.16959365204036017,6,3,7,7
performer_conditioned,1.0,1.0,1.0,9.978609414514603e-06,0.0031588937010470297,6,3,8,7
performer_conditioned,0.8333333333333334,0.8,0.7777777777777778,0.16584080844359192,0.1601015471735522,6,3,9,7
quadratic_conditioned,1.0,1.0,1.0,1.0576617665044327e-05,0.0032521712232052493,8,4,0,7
quadratic_conditioned,0.75,0.75,0.84375,0.24818794704197766,0.24664919711488087,8,4,1,7
quadratic_conditioned,0.75,0.8,1.0,0.239058132114678,0.2436507580172598,8,4,2,7
quadratic_conditioned,0.625,0.4,0.84375,0.3723329346103706,0.3727448018605095,8,4,3,7
quadratic_conditioned,0.75,0.8,0.8125,0.2428882278643728,0.24271262762778595,8,4,4,7
quadratic_conditioned,1.0,1.0,1.0,9.978609414514601e-06,0.0031588937010470297,6,3,5,7
quadratic_conditioned,0.8333333333333334,0.8,0.8333333333333334,0.1656236807090655,0.16561370209965098,6,3,6,7
quadratic_conditioned,0.8333333333333334,0.8571428571428571,0.8333333333333334,0.16562310410445594,0.16558169771220468,6,3,7,7
quadratic_conditioned,1.0,1.0,1.0,9.978609414514603e-06,0.0031588937010470297,6,3,8,7
quadratic_conditioned,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.3312373828087165,0.3301744396322863,6,3,9,7
performer_blind,0.875,0.8888888888888888,0.875,0.12419761388724083,0.12419908728497052,8,4,0,7
performer_blind,0.625,0.5714285714285714,0.78125,0.36354288646501953,0.3671338331512184,8,4,1,7
performer_blind,1.0,1.0,1.0,1.0576617665044327e-05,0.0032521712232052493,8,4,2,7
performer_blind,0.625,0.4,0.75,0.3718856010646366,0.3722163528079949,8,4,3,7
performer_blind,0.875,0.8888888888888888,0.875,0.1242008043008185,0.12454360605957158,8,4,4,7
performer_blind,0.8333333333333334,0.8571428571428571,1.0,0.15497165133387727,0.16018201978676835,6,3,5,7
performer_blind,0.8333333333333334,0.8,0.8333333333333334,0.1656236807090655,0.16561370209965098,6,3,6,7
performer_blind,1.0,1.0,1.0,0.00022131385999151255,0.008590576013929648,6,3,7,7
performer_blind,1.0,1.0,1.0,9.978609414514603e-06,0.0031588937010470297,6,3,8,7
performer_blind,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.3312373828087165,0.3301744396322863,6,3,9,7
