seq_len,performer_ms,quadratic_ms,performer_faster,performer_peak_mb,quadratic_peak_mb,device
3,2.6122565500145356,1.6104452000035963,False,393.86767578125,393.99755859375,cuda
8,2.6260523500013733,1.5799636000110695,False,394.03662109375,394.03662109375,cuda
16,2.6187060499978543,1.5552624000065407,False,394.09912109375,394.09912109375,cuda
32,2.5660253000069133,1.7753195999830496,False,394.22412109375,394.22412109375,cuda
64,3.3186676500008616,1.986413550002908,False,394.47412109375,394.47412109375,cuda
128,2.7904341499834118,1.5428962999976648,False,395.732421875,395.84912109375,cuda
256,2.640331099996729,1.5812935000212747,False,398.490234375,402.72412109375,cuda
512,2.6159609999922395,1.5431360000093264,False,404.005859375,428.47412109375,cuda
1024,2.9832164500021463,2.953199900002801,False,415.037109375,527.97412109375,cuda
2048,3.333395399999972,8.850186050017328,True,437.099609375,918.97412109375,cuda
4096,5.155421399990701,33.90123494998534,True,481.224609375,2468.97412109375,cuda
